DD0106/output_0106:CosmologyCurrentRedshift    = 8.1988635233662
DD0107/output_0107:CosmologyCurrentRedshift    = 8.1419185479435
DD0108/output_0108:CosmologyCurrentRedshift    = 8.0858434419957
DD0109/output_0109:CosmologyCurrentRedshift    = 8.0306196932959
DD0110/output_0110:CosmologyCurrentRedshift    = 7.9762248917528
DD0111/output_0111:CosmologyCurrentRedshift    = 7.922640446287
DD0112/output_0112:CosmologyCurrentRedshift    = 7.8698468602314
DD0113/output_0113:CosmologyCurrentRedshift    = 7.8602752501595
DD0114/output_0114:CosmologyCurrentRedshift    = 7.817825054907
DD0115/output_0115:CosmologyCurrentRedshift    = 7.7665586460823
DD0116/output_0116:CosmologyCurrentRedshift    = 7.7160276532908
DD0117/output_0117:CosmologyCurrentRedshift    = 7.6662179868359
DD0118/output_0118:CosmologyCurrentRedshift    = 7.6171114793854
DD0119/output_0119:CosmologyCurrentRedshift    = 7.5686931496502
DD0120/output_0120:CosmologyCurrentRedshift    = 7.5209481667078
DD0121/output_0121:CosmologyCurrentRedshift    = 7.4738598449224
DD0122/output_0122:CosmologyCurrentRedshift    = 7.42741614696
DD0123/output_0123:CosmologyCurrentRedshift    = 7.3816011048155
DD0124/output_0124:CosmologyCurrentRedshift    = 7.3364022011054
DD0125/output_0125:CosmologyCurrentRedshift    = 7.2918068567508
DD0126/output_0126:CosmologyCurrentRedshift    = 7.2478000375743
DD0127/output_0127:CosmologyCurrentRedshift    = 7.2043719355453
DD0128/output_0128:CosmologyCurrentRedshift    = 7.1651538266651
DD0130/output_0130:CosmologyCurrentRedshift    = 7.1615089852115
DD0129/output_0129:CosmologyCurrentRedshift    = 7.1615089852115
DD0131/output_0131:CosmologyCurrentRedshift    = 7.1537298113887
DD0132/output_0132:CosmologyCurrentRedshift    = 7.119198742416
DD0133/output_0133:CosmologyCurrentRedshift    = 7.0774320719232
DD0134/output_0134:CosmologyCurrentRedshift    = 7.0361961591281
DD0135/output_0135:CosmologyCurrentRedshift    = 6.9954814989135
DD0136/output_0136:CosmologyCurrentRedshift    = 6.9552777660434
DD0137/output_0137:CosmologyCurrentRedshift    = 6.9155724651738
DD0138/output_0138:CosmologyCurrentRedshift    = 6.8763583723584
DD0139/output_0139:CosmologyCurrentRedshift    = 6.8376248339733
DD0140/output_0140:CosmologyCurrentRedshift    = 6.7993614829173
DD0141/output_0141:CosmologyCurrentRedshift    = 6.7615612124113
DD0142/output_0142:CosmologyCurrentRedshift    = 6.7242136176595
DD0143/output_0143:CosmologyCurrentRedshift    = 6.6873100394577
DD0144/output_0144:CosmologyCurrentRedshift    = 6.6508435836448
DD0145/output_0145:CosmologyCurrentRedshift    = 6.6148042000375
DD0146/output_0146:CosmologyCurrentRedshift    = 6.5791845149641
DD0147/output_0147:CosmologyCurrentRedshift    = 6.5439779567018
DD0148/output_0148:CosmologyCurrentRedshift    = 6.5091749450858
DD0149/output_0149:CosmologyCurrentRedshift    = 6.4747689649277
DD0150/output_0150:CosmologyCurrentRedshift    = 6.4407538964615
DD0151/output_0151:CosmologyCurrentRedshift    = 6.407120756727
DD0152/output_0152:CosmologyCurrentRedshift    = 6.3738634572239
DD0153/output_0153:CosmologyCurrentRedshift    = 6.3409764648542
DD0154/output_0154:CosmologyCurrentRedshift    = 6.3084515438889
DD0155/output_0155:CosmologyCurrentRedshift    = 6.276282587808
DD0156/output_0156:CosmologyCurrentRedshift    = 6.2444648015836
DD0157/output_0157:CosmologyCurrentRedshift    = 6.2129908554266
DD0158/output_0158:CosmologyCurrentRedshift    = 6.1818541678826
DD0159/output_0159:CosmologyCurrentRedshift    = 6.151050851553
DD0160/output_0160:CosmologyCurrentRedshift    = 6.1205746557887
DD0161/output_0161:CosmologyCurrentRedshift    = 6.0904180526453
DD0162/output_0162:CosmologyCurrentRedshift    = 6.060578241502
DD0163/output_0163:CosmologyCurrentRedshift    = 6.0310505783656
DD0164/output_0164:CosmologyCurrentRedshift    = 6.00182572471
DD0165/output_0165:CosmologyCurrentRedshift    = 5.9999999999314
